"id","name","breed","age","gender","size","description","adoption_status","location","pincode","last_seen","image","image_url","created_at","updated_at","is_verified","is_featured","views_count","category_id","owner_id","posted_by_id","current_location_id","current_location_type","days_in_care","found_date","is_reunited","moved_to_adoption","moved_to_adoption_date","owner_consent_for_adoption","reunited_at","reunited_with_owner_id","location_latitude","location_longitude","location_map_url","tag_registration_number","weight","cloudinary_url","cloudinary_public_id"
"39","cat","snowflake",,"Female",,"These cute white color cat with blue eye
Color: white
Collar Tag: red","Available for Adoption","hyderabed",,"2025-12-01 00:00:00+00","",,"2025-12-22 09:33:50.682427+00","2025-12-22 13:42:40.092803+00","true","false","13",,,"6",,,"21","2025-12-01 00:00:00+00","false","true","2025-12-22 13:42:40.092545+00","true",,,,,,"12345","7.80","https://res.cloudinary.com/drp2hx5d6/image/upload/v1766396031/petadoption/pets/petadoption/pets/pet_39_main.avif","petadoption/pets/petadoption/pets/pet_39_main"
"40","Dog","Pomeranian",,"Male",,"Notable visual features include its dark eyes, dark nose, and dark paw pads.
Color: Light golden","Found","Hyderabad",,"2025-12-15 00:00:00+00","",,"2025-12-22 18:01:50.213873+00","2025-12-22 18:01:50.21388+00","true","false","1",,,"6",,,"0","2025-12-15 00:00:00+00","false","false",,"false",,,,,,,"3.00","https://res.cloudinary.com/drp2hx5d6/image/upload/v1766426511/petadoption/pets/petadoption/pets/pet_40_main.jpg","petadoption/pets/petadoption/pets/pet_40_main"
"41","Rabbit","Netherlands dwarf",,"Female",,"The rabbit has white fur with gray/dark patches on its ears, around its eyes, and on its hindquarters.
Color: White","Lost","Nalgonda",,"2025-12-16 00:00:00+00","",,"2025-12-22 18:07:05.644858+00","2025-12-22 18:07:05.644879+00","true","false","0",,,"6",,,"0",,"false","false",,"false",,,,,,,"4.00","https://res.cloudinary.com/drp2hx5d6/image/upload/v1766426825/petadoption/pets/petadoption/pets/pet_41_main.jpg","petadoption/pets/petadoption/pets/pet_41_main"
"42","Hamster","Djungarian dwarf",,"Male",,"It have a dark stripe running along the center of their back (dorsal stripe). A faint stripe is present 
Color: Dusky white","Found","Hyderabad",,"2025-12-17 00:00:00+00","",,"2025-12-22 18:15:04.411555+00","2025-12-22 18:15:04.411561+00","true","false","1",,,"7",,,"0","2025-12-17 00:00:00+00","false","false",,"false",,,,,,,"1.00","https://res.cloudinary.com/drp2hx5d6/image/upload/v1766427304/petadoption/pets/petadoption/pets/pet_42_main.jpg","petadoption/pets/petadoption/pets/pet_42_main"
"43","Bird","Cockatiel",,"Female",,"The bird is primarily pale yellow and white with some white or light grey patches on its wings, which is typical of a pied cockatiel. It has a yellow crest and distinctive bright orange patches on its cheeks, along with dark eyes and a dark beak. 
Color: Pale yellow","Lost","Mumbai",,"2025-12-17 00:00:00+00","",,"2025-12-22 18:20:26.136844+00","2025-12-22 18:20:26.136851+00","true","false","1",,,"7",,,"0",,"false","false",,"false",,,,,,,"2.00","https://res.cloudinary.com/drp2hx5d6/image/upload/v1766427627/petadoption/pets/petadoption/pets/pet_43_main.jpg","petadoption/pets/petadoption/pets/pet_43_main"
"44","Bird","Budgerigar",,"Male",,"The bird has distinct black, scalloped markings on its nape (back of the neck), back, and wings. 
Color: Blue","Reunited","Hyderabad",,"2025-12-17 00:00:00+00","",,"2025-12-22 18:23:54.494939+00","2025-12-23 18:08:01.303437+00","true","false","3",,,"8",,,"0","2025-12-17 00:00:00+00","true","false",,"false","2025-12-23 18:08:01.302794+00","8",,,,,"3.00","https://res.cloudinary.com/drp2hx5d6/image/upload/v1766427834/petadoption/pets/petadoption/pets/pet_44_main.jpg","petadoption/pets/petadoption/pets/pet_44_main"
"45","Lamb","White suffolck",,"Male",,"The lamb is totally of white colour and it is free of wool
Color: White","Lost","Nalgonda",,"2025-12-18 00:00:00+00","",,"2025-12-22 18:35:22.140625+00","2025-12-22 18:35:22.140635+00","true","false","0",,,"8",,,"0",,"false","false",,"false",,,,,,,"15.00","https://res.cloudinary.com/drp2hx5d6/image/upload/v1766428522/petadoption/pets/petadoption/pets/pet_45_main.jpg","petadoption/pets/petadoption/pets/pet_45_main"
"46","Buffalo","Murrah",,"Male",,"horns are a prominent feature, characterized by their tight, backward curve that often curls inward or resembles a crescent shape. 
Color: Black","Found","Nizamabad",,"2025-12-19 00:00:00+00","",,"2025-12-22 18:39:35.956263+00","2025-12-22 18:39:35.956271+00","true","false","2",,,"8",,,"0","2025-12-19 00:00:00+00","false","false",,"false",,,,,,,"80.00","https://res.cloudinary.com/drp2hx5d6/image/upload/v1766428776/petadoption/pets/petadoption/pets/pet_46_main.jpg","petadoption/pets/petadoption/pets/pet_46_main"
"47","Ox","Hariana",,"Male",,"They have a long and narrow face with a well-marked bony prominence at the center of the poll. 
Color: White and grey","Lost","Basar",,"2025-12-19 00:00:00+00","",,"2025-12-22 18:44:30.476459+00","2025-12-22 18:44:30.476467+00","true","false","0",,,"8",,,"0",,"false","false",,"false",,,,,,,"500.00","https://res.cloudinary.com/drp2hx5d6/image/upload/v1766429070/petadoption/pets/petadoption/pets/pet_47_main.jpg","petadoption/pets/petadoption/pets/pet_47_main"
"48","Hen","Gingerham",,"Female",,"Prominent white accents, which can appear as white tails or around the neck, though some birds are almost entirely rust brown.
Color: Golden","Found","Narsapur",,"2025-12-20 00:00:00+00","",,"2025-12-22 18:50:21.825773+00","2025-12-22 18:50:21.825784+00","true","false","2",,,"9",,,"0","2025-12-20 00:00:00+00","false","false",,"false",,,,,,,"3.00","https://res.cloudinary.com/drp2hx5d6/image/upload/v1766429422/petadoption/pets/petadoption/pets/pet_48_main.png","petadoption/pets/petadoption/pets/pet_48_main"
"49","Cat","Munchkin cat",,"Female",,"It has very short legs, which are the result of a natural genetic mutation causing dwarfism. They are small to medium-sized cats with a moderate body type, rounded head contours, and large, walnut-shaped eyes. 
Color: Orange and white , bicolour","Lost","Hyderabad",,"2025-12-21 00:00:00+00","",,"2025-12-23 04:56:53.168058+00","2025-12-23 04:56:53.168066+00","true","false","0",,,"9",,,"0",,"false","false",,"false",,,,,,,"6.00","https://res.cloudinary.com/drp2hx5d6/image/upload/v1766465813/petadoption/pets/petadoption/pets/pet_49_main.jpg","petadoption/pets/petadoption/pets/pet_49_main"
"50","Dog","Golden Retriever",,"Male",,"has a dense, water-resistant double coat that is typically long, flat, or wavy with feathering on the forelegs. The color can range from light cream to dark gold. 
Color: Golden
Collar Tag: Black collar","Found","Hayathnagar",,"2025-12-23 00:00:00+00","",,"2025-12-23 05:00:19.586502+00","2025-12-23 05:00:19.586511+00","true","false","0",,,"9",,,"0","2025-12-23 00:00:00+00","false","false",,"false",,,,,,,"11.00","https://res.cloudinary.com/drp2hx5d6/image/upload/v1766466020/petadoption/pets/petadoption/pets/pet_50_main.jpg","petadoption/pets/petadoption/pets/pet_50_main"
"51","Parrot","Loriculus vernalis",,"Male",,"has a powder-blue throat patch, which is a characteristic of an adult male. Females typically have a less visible or entirely absent blue patch, sometimes appearing green. 
Color: Green","Lost","Kothagudem",,"2025-12-10 00:00:00+00","",,"2025-12-23 05:03:14.976239+00","2025-12-23 05:03:14.976247+00","true","false","0",,,"9",,,"0",,"false","false",,"false",,,,,,,"1.00","https://res.cloudinary.com/drp2hx5d6/image/upload/v1766466195/petadoption/pets/petadoption/pets/pet_51_main.jpg","petadoption/pets/petadoption/pets/pet_51_main"
"52","Tortoise","African spurred",,"Male",,"The shell is typically a shade of brown or tan, and the shape is generally oval with a serrated edge, especially in juveniles. 
Color: Golden","Found","Kagaznagar",,"2025-12-11 00:00:00+00","",,"2025-12-23 05:06:45.059586+00","2025-12-23 05:06:45.059595+00","true","false","1",,,"3",,,"0","2025-12-11 00:00:00+00","false","false",,"false",,,,,,,,"https://res.cloudinary.com/drp2hx5d6/image/upload/v1766466405/petadoption/pets/petadoption/pets/pet_52_main.jpg","petadoption/pets/petadoption/pets/pet_52_main"
"53","Horse","American Quarter Horse",,"Male",,"The horse has a sorrel (reddish-brown) coat, which is the most common color for the breed. It also has a white blaze on its face and white markings (socks or stockings) on its lower legs. 
Color: Reddish brown","Lost","Chennai",,"2025-12-12 00:00:00+00","",,"2025-12-23 05:09:10.347561+00","2025-12-23 05:09:10.347569+00","true","false","1",,,"3",,,"0",,"false","false",,"false",,,,,,,"500.00","https://res.cloudinary.com/drp2hx5d6/image/upload/v1766466550/petadoption/pets/petadoption/pets/pet_53_main.jpg","petadoption/pets/petadoption/pets/pet_53_main"
"54","cow","brazilian",,"Female",,"it is very cute cow  with  with white and brown color  combination 
Color: white
Collar Tag: yellow","Found","hyderabad",,"2025-12-19 00:00:00+00","",,"2025-12-23 20:28:59.274296+00","2025-12-23 20:28:59.274324+00","true","false","0",,,"8",,,"0","2025-12-19 00:00:00+00","false","false",,"false",,,,,,"87654","44.50","https://res.cloudinary.com/drp2hx5d6/image/upload/v1766521747/petadoption/pets/petadoption/pets/pet_54_main.jpg","petadoption/pets/petadoption/pets/pet_54_main"
"55","Dog","Pomeranian",,"Female",,"Coat: Pomeranians have an abundant, textured double coat. 
Ruff: A prominent ruff of fur on the neck is a well-known characteristic of the breed. 
Tail: They possess a highly plumed tail that is set high and flat. 
Color: White","Found","Hyderabad",,"2025-12-24 00:00:00+00","",,"2025-12-24 00:16:41.66071+00","2025-12-24 00:16:41.660715+00","true","false","0",,,"3",,,"0","2025-12-24 00:00:00+00","false","false",,"false",,,,,,,"2.00","https://res.cloudinary.com/drp2hx5d6/image/upload/v1766535402/petadoption/pets/petadoption/pets/pet_55_main.jpg","petadoption/pets/petadoption/pets/pet_55_main"
"56","Cat","Tabby",,"Female",,"also have characteristic stripes around their eyes, on their cheeks, along their back, and around their legs and tail. The body can have striped, dotted, lined, flecked, banded, or swirled patterns. 
Color: Golden","Lost","Kothagudem",,"2025-12-21 00:00:00+00","",,"2025-12-24 00:19:55.953008+00","2025-12-24 00:19:55.953014+00","true","false","0",,,"3",,,"0",,"false","false",,"false",,,,,,,"7.00","https://res.cloudinary.com/drp2hx5d6/image/upload/v1766535596/petadoption/pets/petadoption/pets/pet_56_main.jpg","petadoption/pets/petadoption/pets/pet_56_main"
